# temp press mean std stdofmean min max
1500 20 -155.839706312 21.5281570495 6.80780101022 -179.069794942 -99.2542040406
1500 30 104.473005457 13.8142539846 4.36845067674 86.9905484027 129.509712825
1500 40 -286.404409681 460.301339557 145.560064303 -1454.3006198 26.4958086803

1800 20 308.073934673 3.79101635032 1.19882463139 301.958658872 317.58840867
1800 30 0.0 0.0 0.0 0.0 0.0 
1800 40 0.0 0.0 0.0 0.0 0.0

2000 20 520.657116656 5.13444104161 1.62365282033 515.22932146 531.160819099
2000 30 -254.29470563 7.79478651738 2.46492792697 -267.599055469 -243.254145074
2000 40 -1057.64021906 93.2256177121 29.4805288246 -1232.29066839 -893.521632311

2200 20 742.491020099 3.18674307379 1.00773664309 736.798121947 747.152626913
2200 30 156.03310358 1.91108251972 0.604337355884 153.569034384 159.601188053
2200 40 -795.149425953 6.25138905096 1.97686279409 -809.241727404 -787.149061086

2400 20 990.966878825 4.15387440976 1.31357042491 982.442947619 996.851292438
2400 30 523.048916144 2.47502784801 0.782672527205 519.411607262 526.671628518
2400 40 -318.948684803 2.14701503122 0.678945766928 -323.866854964 -316.706629861

2500 20 1123.23225566 3.47386810551 1.09853355044 1117.79242097 1129.88579585
2500 30 648.411743737 8.75828333652 2.76961237365 631.945918049 659.98455732
2500 40 -78.118585432 3.26094874351 1.03120253625 -82.3074677497 -71.7297191672
